GeoFIPS,GeoName,Region,Table,LineCode,Per capita personal income (dollars) 2/,Personal income (thousands of dollars),Population (persons) 1/
6001,"Alameda, CA",8,CA1,3,56261,90631392,1610921
6003,"Alpine, CA",8,CA1,3,62410,69650,1116
6005,"Amador, CA",8,CA1,3,39504,1451465,36742
6007,"Butte, CA",8,CA1,3,37005,8298110,224241
6009,"Calaveras, CA",8,CA1,3,43099,1923243,44624
6000,California state total,8,CA1,3,49985,1939527656,38802500
6011,"Colusa, CA",8,CA1,3,43840,939008,21419
6013,"Contra Costa, CA",8,CA1,3,63752,70849779,1111339
6015,"Del Norte, CA",8,CA1,3,30437,828255,27212
6017,"El Dorado, CA",8,CA1,3,56965,10429619,183087
6019,"Fresno, CA",8,CA1,3,35785,34567706,965974
6021,"Glenn, CA",8,CA1,3,38278,1070048,27955
6023,"Humboldt, CA",8,CA1,3,37783,5093455,134809
6025,"Imperial, CA",8,CA1,3,32398,5802217,179091
6027,"Inyo, CA",8,CA1,3,44602,821115,18410
6029,"Kern, CA",8,CA1,3,36165,31629281,874589
6031,"Kings, CA",8,CA1,3,32371,4864335,150269
6033,"Lake, CA",8,CA1,3,35259,2263052,64184
6035,"Lassen, CA",8,CA1,3,33432,1061423,31749
6037,"Los Angeles, CA",8,CA1,3,49400,499767889,10116705
6039,"Madera, CA",8,CA1,3,33042,5106586,154548
6041,"Marin, CA",8,CA1,3,98626,25716754,260750
6043,"Mariposa, CA",8,CA1,3,41893,740746,17682
6045,"Mendocino, CA",8,CA1,3,39545,3474746,87869
6047,"Merced, CA",8,CA1,3,33865,9020129,266353
6049,"Modoc, CA",8,CA1,3,40541,365803,9023
6051,"Mono, CA",8,CA1,3,43398,607438,13997
6053,"Monterey, CA",8,CA1,3,46109,19889054,431344
6055,"Napa, CA",8,CA1,3,54596,7734502,141667
6057,"Nevada, CA",8,CA1,3,50312,4975533,98893
6059,"Orange, CA",8,CA1,3,55096,173305650,3145515
6061,"Placer, CA",8,CA1,3,54423,20228856,371694
6063,"Plumas, CA",8,CA1,3,45554,847586,18606
6065,"Riverside, CA",8,CA1,3,33590,78239388,2329271
6067,"Sacramento, CA",8,CA1,3,43944,65126187,1482026
6069,"San Benito, CA",8,CA1,3,41486,2417263,58267
6071,"San Bernardino, CA",8,CA1,3,32892,69487877,2112619
6073,"San Diego, CA",8,CA1,3,51459,167931419,3263431
6075,"San Francisco, CA",8,CA1,3,90600,77233279,852469
6077,"San Joaquin, CA",8,CA1,3,36136,25859136,715597
6079,"San Luis Obispo, CA",8,CA1,3,45947,12823005,279083
6081,"San Mateo, CA",8,CA1,3,89659,68013899,758581
6083,"Santa Barbara, CA",8,CA1,3,50523,22263835,440668
6085,"Santa Clara, CA",8,CA1,3,74883,141873705,1894605
6087,"Santa Cruz, CA",8,CA1,3,52280,14209814,271804
6089,"Shasta, CA",8,CA1,3,37905,6815459,179804
6091,"Sierra, CA",8,CA1,3,37239,111830,3003
6093,"Siskiyou, CA",8,CA1,3,37002,1614315,43628
6095,"Solano, CA",8,CA1,3,42073,18138958,431131
6097,"Sonoma, CA",8,CA1,3,49185,24606709,500292
6099,"Stanislaus, CA",8,CA1,3,36356,19341120,531997
6101,"Sutter, CA",8,CA1,3,38871,3725675,95847
6103,"Tehama, CA",8,CA1,3,32666,2060118,63067
6105,"Trinity, CA",8,CA1,3,32261,424875,13170
6107,"Tulare, CA",8,CA1,3,35240,16147060,458198
6109,"Tuolumne, CA",8,CA1,3,38639,2079983,53831
6111,"Ventura, CA",8,CA1,3,50405,42651306,846178
6113,"Yolo, CA",8,CA1,3,45132,9369048,207590
6115,"Yuba, CA",8,CA1,3,34989,2587968,73966